SubcID,WasteCapacity(m3/d),ReuseCapacity(m3/d),InPointID,WasteCost(1e4CNY),ReuseTreatCost(1e4CNY),ReusePipeCost(1e4CNY)
1035,2830.46,0,397,181.859,0,0
1021,440.64,0,388,155.047,0,0
119,776.736,0,376,158.814,0,0
424,2172.1,0,184,174.467,0,0
975,16614.7,0,379,337.691,0,0
775,11721.9,0,432,282.147,0,0
45,688.608,0,417,157.826,0,0
601,46069.3,0,72,677.427,0,0
308,31371,0,429,506.744,0,0
39,1311.55,0,444,164.811,0,0
60,3099.17,0,207,184.878,0,0
302,1365.98,0,412,165.422,0,0
464,8463.74,0,315,245.301,0,0
1006,5182.27,0,305,208.304,0,0
930,10664.4,0,471,270.175,0,0
452,11426.4,0,186,278.801,0,0
862,8387.71,0,32,244.442,0,0
977,669.6,0,384,157.613,0,0
967,23004.9,0,64,410.615,0,0
936,1989.79,0,147,172.421,0,0
303,24211,0,393,424.428,0,0
8,4818.53,0,6,204.21,0,0
935,12585.9,0,446,291.937,0,0
972,1346.98,0,443,165.208,0,0
