RoadID,UpNode,DownNode,SystemType,OnLevel,OffLevel,MaxCapacity(L/s),DWF(L/s),LiftingHeight(m)
575,301,377,Waste,0,0,32,16.6,7.0
157,103,393,Waste,0,0,135,81.5,2.6
500,268,432,Waste,0,0,21,10.0,6.5
507,431,432,Waste,0,0,88,49.9,5.7
93,62,66,Waste,0,0,52,27.8,6.6
440,245,178,Waste,0,0,35,17.9,4.2
439,244,178,Waste,0,0,78,44.1,7.0
527,274,273,Waste,0,0,266,175.0,6.8
491,254,273,Waste,0,0,27,13.7,2.1
612,445,319,Waste,0,0,116,68.5,9.9
95,423,71,Waste,0,0,204,130.4,6.4
11,421,10,Waste,0,0,29,14.4,7.3
9,5,417,Waste,0,0,322,215.8,7.4
713,353,354,Waste,0,0,70,38.9,5.1
359,210,206,Waste,0,0,112,65.4,6.7
536,200,206,Waste,0,0,8,3.6,4.0
716,494,354,Waste,0,0,18,8.6,6.5
537,201,207,Waste,0,0,229,147.7,1.6
287,29,167,Waste,0,0,300,200.2,2.9
169,498,122,Waste,0,0,52,27.7,3.6
168,120,122,Waste,0,0,109,63.4,7.3
264,108,122,Waste,0,0,13,5.8,4.6
597,91,315,Waste,0,0,199,126.9,2.5
120,88,100,Waste,0,0,131,78.7,7.1
512,466,85,Waste,0,0,12,5.3,7.1
569,308,186,Waste,0,0,290,193.1,2.1
623,451,259,Waste,0,0,88,50.0,6.4
486,181,263,Waste,0,0,206,131.7,6.8
671,457,323,Waste,0,0,26,13.1,7.7
672,336,323,Waste,0,0,69,38.0,6.2
675,314,324,Waste,0,0,25,12.3,6.7
318,198,184,Waste,0,0,9,4.1,3.4
129,98,87,Waste,0,0,80,45.3,7.1
728,361,360,Waste,0,0,27,13.3,7.7
495,295,286,Waste,0,0,5,2.4,3.1
761,156,286,Waste,0,0,28,14.0,6.5
87,387,64,Waste,0,0,8,3.8,7.0
86,65,64,Waste,0,0,394,266.8,4.8
331,171,58,Waste,0,0,52,27.9,6.6
207,138,139,Waste,0,0,54,28.7,3.5
279,142,139,Waste,0,0,140,85.1,6.9
142,113,63,Waste,0,0,87,49.4,3.5
83,67,63,Waste,0,0,20,9.2,4.6
140,114,63,Waste,0,0,128,76.6,8.1
395,144,418,Waste,0,0,71,39.9,10.1
489,427,227,Waste,0,0,2,0.9,9.4
